DATADOACAO,FORNECEDOR,DESTINO,ESTADO/MUNICIPIO,TIPO,QUANTIDADE,VALOR,DESTINATARIO,UF,DATA DE ENTREGA
21/05/2020,VYAIRE,ACRE,ESTADO,UTI,20, 1.200.000,Secretaria Estadual de Saude,AC,23/05/2020
21/05/2020,MAGNAMED,ACRE,ESTADO,TRANSPORTE,10, 482.900,Secretaria Estadual de Saude,AC,23/05/2020
05/06/2020,LEISTUNG,ACRE,ESTADO,UTI,30, 1.800.000,Secretaria Estadual de Saude,AC,08/06/2020
16/06/2020,VYAIRE,ACRE,MUNICIPIO,UTI,5, 300.000,Secretaria Municipal de Saude (Sena Madureira),AC,24/06/2020
16/06/2020,MAGNAMED,ACRE,MUNICIPIO,TRANSPORTE,5, 241.450,Secretaria Municipal de Saude (Sena Madureira),AC,24/06/2020
26/06/2020,MAGNAMED,ACRE,MUNICIPIO,TRANSPORTE,10, 482.900,Secretaria Municipal de Saude (Cruzeiro do Sul),AC ,03/07/2020
26/06/2020,MAGNAMED,ACRE,MUNICIPIO,TRANSPORTE,70, 3.380.300,Secretaria Municipal de Saude (Cruzeiro do Sul),AC ,04/07/2020
07/07/2020,VYAIRE,ACRE,MUNICIPIO,UTI,10, 600.000,Cruzeiro do Sul - Hoaspital Regional de Jurua,AC,19/07/2020
10/07/2020,MAGNAMED,ACRE,ESTADO,TRANSPORTE,5, 241.450,RIO BRANCO - Secretaria Estadual de Saude,AC,21/07/2020
10/07/2020,VYAIRE,ACRE,ESTADO,UTI,5, 300.000,RIO BRANCO - Secretaria Estadual de Saude,AC,21/07/2020
28/01/2021,VYAIRE,ACRE,ESTADO,UTI,20, 1.200.000,SES ACRE,AC,29/01/2021
18/02/2021,KTK,ACRE,ESTADO,TRANSPORTE,20, 400.000,SECRETARIA ESTADUAL DE SAUDE,AC,22/02/2021
18/02/2021,VYAIRE,ACRE,ESTADO,UTI,20, 1.200.000,SECRETARIA ESTADUAL DE SAUDE,AC,22/02/2021
22/05/2020,KTK,ALAGOAS,ESTADO,UTI,15, 900.000,Secretaria Estadual de Saude,AL,24/05/2020
22/05/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,15, 724.350,Secretaria Estadual de Saude,AL,24/05/2020
04/06/2020,VYAIRE,ALAGOAS,ESTADO,UTI,20, 1.200.000,Secretaria Estadual de Saude,AL,06/06/2020
04/06/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,17, 820.930,Secretaria Estadual de Saude,AL,06/06/2020
04/06/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,3, 144.870,Secretaria Estadual de Saude,AL,06/06/2020
16/06/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,50, 2.414.500,Secretaria Estadual de Saude,AL,18/06/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1, 60.000,Secretaria Municipal de Saude (BELO MONTE),AL,01/07/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1, 60.000,Secretaria Municipal de Saude (MAJOR IZIDORO),AL,30/06/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1, 60.000,Secretaria Municipal de Saude (MARAVILHA),AL,01/07/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1, 60.000,Secretaria Municipal de Saude (MARIBONDO) ,AL,30/06/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1, 60.000,Secretaria Municipal de Saude (PASSO DO CAMARAGIBE),AL,30/06/2020
26/06/2020,MAGNAMED,ALAGOAS,MUNICIPIO,TRANSPORTE,5, 241.450,Secretaria Municipal de Saude (SANTANA DO IPANEMA),AL,01/07/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,5, 300.000,Secretaria Municipal de Saude (SANTANA DO IPANEMA),AL,01/07/2020
01/07/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,10, 482.900,Secretaria Estadual de Saude (Hospital da Mulher Dra. Nise da Silveira),AL ,03/07/2020
01/07/2020,VYAIRE,ALAGOAS,ESTADO,UTI,30, 1.800.000,Secretaria Estadual de Saude (Hospital da Mulher Dra. Nise da Silveira),AL ,03/07/2020
04/07/2020,VYAIRE,ALAGOAS,ESTADO ,UTI,10, 600.000,Secretaria Estadual de Saude,AL,06/07/2020
17/07/2020,VYAIRE,ALAGOAS,ESTADO,UTI,7, 420.000,MACEIO - Secretaria Estadual de Saude ,AL ,31/07/2020
17/07/2020,KTK,ALAGOAS,ESTADO,TRANSPORTE,13, 260.000,MACEIO - Secretaria Estadual de Saude ,AL ,31/07/2020
17/07/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,7, 420.000,ARAPIRACA - Secretaria Municipal de Saude ,AL ,31/07/2020
17/07/2020,KTK,ALAGOAS,MUNICIPIO,TRANSPORTE,8, 160.000,ARAPIRACA - Secretaria Municipal de Saude ,AL ,31/07/2020
24/07/2020,KTK,ALAGOAS,MUNICIPIO,TRANSPORTE,2, 40.000,PALMEIRA DOS INDIOS - Secretaria Municipal de Saude ,AL ,07/08/2020
14/08/2020,MAGNAMED,ALAGOAS,MUNICIPIO,TRANSPORTE,2, 96.580,SMS DE  SAO JOSE DA TAPERA,AL ,18/08/2020
21/08/2020,MAGNAMED,ALAGOAS,MUNICIPIO,TRANSPORTE,1, 48.290,SECR MUN DE SAUDE DE DELMIRO GOUVEIA AL,AL ,26/08/2020
02/10/2020,KTK,ALAGOAS,MUNICIPIO,TRANSPORTE,3, 60.000,SECR MUN DE SAUDE DE MARAGOGI  AL,AL,05/10/2020
02/10/2020,KTK,ALAGOAS,MUNICIPIO,TRANSPORTE,8, 160.000,SECR MUN DE SAUDE DE MARAGOGI  AL,AL,05/10/2020
23/12/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1, 60.000,SANTA CASA DE MISERICORDIA DE PENEDO,AL,28/12/2020
08/01/2021,VYAIRE,ALAGOAS,ESTADO,UTI,50, 3.000.000,SECRETARIA ESTADUAL DE SAUDE DE ALAGOAS,AL,11/01/2021
11/03/2021,LIFEMED ,ALAGOAS,ESTADO,UTI,40, 2.400.000,SECRETARIA ESTADUAL DE SAUDE DE ALAGOAS,AL,12/03/2021
11/04/2020,MAGNAMED-O,AMAPA,ESTADO,UTI,10, 600.000,Maternidade Zona Norte Dra. Eucl̩ia,AP,11/04/2020
18/04/2020,MAGNAMED,AMAPA,ESTADO,TRANSPORTE,10, 482.900,Secretaria Estadual de Saude,AP,19/04/2020
18/04/2020,VYAIRE,AMAPA,ESTADO,UTI,5, 300.000,Secretaria Estadual de Saude,AP,19/04/2020
21/04/2020,L C DADDE COM AT INST MAT MEDICO EPP,AMAPA,ESTADO,UTI,20, 2.190.000,Secretaria Estadual de Saude,AP,23/04/2020
01/05/2020,LEISTUNG,AMAPA,ESTADO,TRANSPORTE,2, 37.000,Secretaria Estadual de Saude,AP,02/05/2020
01/05/2020,LEISTUNG,AMAPA,ESTADO,UTI,14, 840.000,Secretaria Estadual de Saude,AP,02/05/2020
01/05/2020,MAGNAMED,AMAPA,ESTADO,TRANSPORTE,4, 193.160,Secretaria Estadual de Saude,AP,02/05/2020
24/05/2020,VYAIRE,AMAPA,ESTADO,UTI,30, 1.800.000,Secretaria Estadual de Saude,AP,24/05/2020
28/05/2020,VYAIRE,AMAPA,ESTADO,UTI,10, 600.000,Secretaria Estadual de Saude,AP,29/05/2020
09/06/2020,VYAIRE,AMAPA,ESTADO,UTI,10, 600.000,Secretaria Estadual de Saude,AP,12/06/2020
09/06/2020,MAGNAMED,AMAPA,ESTADO,TRANSPORTE,10, 482.900,Secretaria Estadual de Saude,AP,12/06/2020
28/01/2021,VYAIRE,AMAPA,ESTADO,UTI,8, 480.000,PMM U B S DR LELIO SILVA,AP,03/02/2021
